id;title;release_dates;publisher;dev;support_dev;genres;game_modes;themes;mult_modes;game_eng;series;perspective
5448;my-pokemon-ranch;Mar 25, 2008 - WiiWare;Nintendo;Ambrella;;;Multiplayer, Single player;;;;;Third person
5449;mysims;"Sep 18, 2007 - Wii; Sep 18, 2007 - Nintendo DS; Oct 28, 2008 - PC (Microsoft Windows)";Electronic Arts;EA Redwood Shores, EA UK;;Shooter, Simulator, Strategy;Single player;Action;;;MySims;Bird view / Isometric, Third person
5450;mysims-agents;"Sep 25, 2009 - Wii; Sep 25, 2009 - Nintendo DS";Electronic Arts;EA Redwood Shores;;Adventure;Single player;;;;MySims;Third person
5451;mysims-kingdom;"Oct 28, 2008 - Wii; Oct 28, 2008 - Nintendo DS";Electronic Arts;EA Redwood Shores;;Puzzle, Simulator, Strategy;Single player;Comedy;;;MySims;Bird view / Isometric, Third person
5452;mysims-party;"Mar 10, 2009 - Wii; Mar 10, 2009 - Nintendo DS";Electronic Arts;EA Redwood Shores;;Simulator;Single player, Split screen;Action, Party;;;MySims;Third person
5453;mysims-racing;"Jun 08, 2009 - Nintendo DS; Jun 16, 2009 - Wii";Electronic Arts;Artificial Mind & Movement;;Racing, Simulator;Single player, Split screen;Sandbox;;;MySims;Third person
5454;mysims-skyheroes;"Sep 28, 2010 - PlayStation 3; Sep 28, 2010 - Wii; Sep 28, 2010 - Xbox 360; Sep 28, 2010 - Nintendo DS";Electronic Arts;Behaviour Interactive;;Simulator;Single player;;;;MySims;Third person
5455;my-spanish-coach;;Ubisoft;;;;;Educational;;;My Coach;
5456;myst;"Sep 24, 1993 - Mac; Sep 24, 1993 - PC (Microsoft Windows); Oct 27, 1995 - Sega Saturn; Sep 30, 1996 - PlayStation; May 13, 2008 - Nintendo DS; Apr 22, 2009 - iOS; Jul 16, 2009 - PlayStation Portable";Br??derbund Software, Midway Games, Mean Hamster Software, Sunsoft;Cyan Worlds;;Adventure, Point-and-click, Puzzle;Single player;Fantasy;;Mohawk, HyperCard;Myst;First person
5457;mysterious-journey-ii;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again
5458;mystery-case-files-millionheir;Sep 08, 2008 - Nintendo DS;Nintendo;;;Adventure, Puzzle;;;;;Mystery Case Files;
5459;mystery-case-files-the-malgrave-incident;Jun 27, 2011 - Wii;Nintendo;Sanzaru Games, Big Fish Games;;Adventure, Puzzle;Single player, Split screen;;;;Mystery Case Files;
5460;mystery-dungeon-shiren-the-wanderer;Dec 14, 2006 - Nintendo DS;;Chunsoft;;Strategy;;;;;Mystery Dungeon;
5461;mystical-ninja-starring-goemon;"Aug 07, 1997 - Nintendo 64; Dec 04, 1997 - Game Boy";Konami;Konami;;Adventure, Platform;Single player;Action, Comedy, Fantasy, Historical;;;Ganbare Goemon;Third person
5462;mystic-heroes;"Nov 28, 2002 - PlayStation 2; Jan 13, 2003 - Nintendo GameCube";Koei;;;;;Action;;;;
5463;myst-iii-exile;"May 07, 2001 - Mac; May 07, 2001 - PC (Microsoft Windows); Sep 17, 2002 - Xbox; Sep 19, 2002 - PlayStation 2";Ubisoft Entertainment;Presto Studios;;Adventure, Puzzle;Single player;Drama;;Sprint;Myst;First person
5464;myst-iv-revelation;"Sep 28, 2004 - Mac; Sep 28, 2004 - PC (Microsoft Windows); Mar 29, 2005 - Xbox";Ubisoft Entertainment;Ubisoft Montreal;;Adventure, Puzzle;Single player;Drama;;ALIVE;Myst;First person
5465;my-street;Mar 09, 2003 - PlayStation 2;Sony Computer Entertainment of America, Sony Computer Entertainment Europe;Idol Minds;;Sport;Co-operative, Multiplayer, Single player;Action;;;;Bird view / Isometric, Third person
5466;myst-v-end-of-ages;"Sep 20, 2005 - Mac; Sep 20, 2005 - PC (Microsoft Windows)";Cyan Worlds;Cyan Worlds, Beenox;;Adventure, Puzzle, Strategy;Single player;Fantasy, Science fiction;;Plasma;Myst;First person
5467;myth-iii-the-wolf-age;"Nov 02, 2001 - Mac; Nov 02, 2001 - PC (Microsoft Windows)";MacSoft Games, Take-Two Interactive, Gathering of Developers;Mumbo Jumbo;;Real Time Strategy (RTS);Multiplayer, Single player;Action, Fantasy;;;Myth;Bird view / Isometric
5468;myth-ii-soulblighter;"Nov 30, 1998 - Mac; Nov 30, 1998 - Linux; Nov 30, 1998 - PC (Microsoft Windows)";Bungie;Bungie;;Real Time Strategy (RTS), Strategy;Multiplayer, Single player;Action, Fantasy;;;Myth;Bird view / Isometric
5469;myth-the-fallen-lords;"Nov 25, 1997 - Mac; Nov 25, 1997 - PC (Microsoft Windows)";Bungie;Bungie;;Real Time Strategy (RTS), Role-playing (RPG), Strategy;Multiplayer, Single player;Action, Fantasy, Horror;;;Myth;Bird view / Isometric
5470;my-time-at-portia;"Jan 15, 2019 - PC (Microsoft Windows); Apr 16, 2019 - PlayStation 4; Apr 16, 2019 - Xbox One; Apr 16, 2019 - Nintendo Switch";Team17;Pathea Games;;Adventure, Indie, Role-playing (RPG), Simulator;Single player;Open world;;Unity;;Third person
5471;mytran-wars;Apr 17, 2009 - PlayStation Portable;;;;Strategy;;;;;;
5472;my-word-coach;"Nov 06, 2007 - iOS; Nov 06, 2007 - Wii; Nov 06, 2007 - Nintendo DS";Ubisoft Entertainment;Ubisoft Qu?ébec, Ubisoft Montreal;;Puzzle;Single player, Split screen;Educational;;;My Coach;
5473;my-world-my-way;"Jun 12, 2008 - Nintendo DS; Jul 09, 2009 - PlayStation Portable";Atlus, Global A Entertainment;Global A Entertainment;;;Single player;;;;;
5474;n+;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again
5475;n++;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again
5476;n3ii-ninety-nine-nights;Jun 29, 2010 - Xbox 360;Konami;Q Entertainment, Feelplus;;Fighting, Hack and slash/Beat 'em up, Role-playing (RPG);Multiplayer, Single player;Action, Fantasy, Historical;;;Ninety-Nine Nights;
5477;nairi-tower-of-shirin;"Nov 29, 2018 - PC (Microsoft Windows); Nov 29, 2018 - Nintendo Switch";Hound Picked Games;HomeBearStudio;;Adventure, Indie, Point-and-click, Puzzle;Single player;Drama, Kids, Mystery;;Unreal Engine 4;;First person, Text
5478;naissancee;Feb 13, 2014 - PC (Microsoft Windows);Limasse Five;Limasse Five;;Adventure, Indie, Platform, Puzzle;Single player;Science fiction;;Unreal Engine;;First person, Virtual Reality
5479;namco-museum;Jul 28, 2017 - Nintendo Switch;Namco Bandai America;Bandai Namco Studios, ITL;;Arcade;Multiplayer, Single player;Action;;;Namco Museum;
5480;namco-museum-50th-anniversary;Aug 30, 2005 - Nintendo GameCube;Namco;Digital Eclipse;;Arcade;Multiplayer, Single player;;;;Namco Museum;
5481;namco-museum-battle-collection;Sep 23, 2005 - PlayStation Portable;;;;;;Action;;;Namco Museum;
5482;namco-museum-ds;Sep 18, 2007 - Nintendo DS;Namco Bandai Games;M2;;Arcade;Multiplayer, Single player;;;;Namco;
5483;namco-museum-essentials;;;;;;;Science fiction;;;Namco Museum;
5484;namco-museum-megamix;Nov 16, 2010 - Wii;Bandai Namco Entertainment;Bandai Namco Entertainment;;Arcade;Single player, Split screen;Action;;;Namco;
5485;namco-museum-remix;Oct 23, 2007 - Wii;Bandai Namco Entertainment;Bandai Namco Entertainment;;Arcade;Single player, Split screen;Action;;;Namco;
5486;namco-museum-virtual-arcade;Nov 04, 2008 - Xbox 360;Bandai Namco Entertainment;Namco Bandai America;;Arcade;Single player, Split screen;;;;Namco;Third person
5487;nancy-drew-danger-by-design;Jul 24, 2006 - PC (Microsoft Windows);Her Interactive;Her Interactive;;Adventure, Point-and-click, Puzzle;Single player;Mystery;;;Nancy Drew;
5488;nancy-drew-danger-on-deception-island;Oct 03, 2003 - PC (Microsoft Windows);;;;Adventure, Point-and-click, Puzzle;Single player;Mystery;;;Nancy Drew;
5489;nancy-drew-legend-of-the-crystal-skull;Oct 08, 2007 - PC DOS;;;;Adventure;Single player;;;;Nancy Drew;
5490;nancy-drew-secret-of-the-old-clock;Jul 12, 2005 - PC (Microsoft Windows);Her Interactive;Her Interactive;;Adventure, Point-and-click, Puzzle;Single player;Mystery;;;Nancy Drew;
5491;nancy-drew-the-creature-of-kapu-cave;Oct 01, 2006 - PC (Microsoft Windows);Her Interactive;Her Interactive;;Adventure;Single player;;;;Nancy Drew;
5492;nancy-drew-the-deadly-secret-of-olde-world-park;Oct 18, 2007 - Nintendo DS;Eidos Interactive;;;Adventure, Puzzle;;Action;;;Nancy Drew;
5493;nancy-drew-the-phantom-of-venice;Jul 11, 2008 - PC (Microsoft Windows);Her Interactive;Her Interactive;;Adventure, Point-and-click, Puzzle;Single player;Mystery;;;Nancy Drew;
5494;nancy-drew-the-ransom-of-the-seven-ships;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again
5495;nancy-drew-the-white-wolf-of-icicle-creek;"Jun 07, 2007 - PC (Microsoft Windows); Dec 02, 2008 - Wii";Her Interactive, Sega;Her Interactive;;Adventure, Point-and-click;Single player;;;;Nancy Drew;
5496;nancy-drew-warnings-at-waverly-academy;Jan 13, 2010 - PC (Microsoft Windows);Her Interactive;Her Interactive;;Adventure, Point-and-click, Puzzle;Single player;Mystery;;;Nancy Drew;
5497;nano-assault;Dec 05, 2011 - Nintendo 3DS;Majesco;;;Shooter;;;;;;
5498;nano-assault-ex;Apr 07, 2013 - Nintendo 3DS;;;;Shooter;;Action;;;;
5499;nano-assault-neo;Nov 18, 2012 - Wii U;Arc System Works, Shin'en Multimedia;Shin'en Multimedia;;Arcade, Shooter;Co-operative, Single player;Science fiction;;;Nanostray;Bird view / Isometric
5500;nanobreaker;Jan 27, 2005 - PlayStation 2;;;;Fighting;;Action;;;;
5501;nanostray;Jul 09, 2005 - Nintendo DS;Majesco Entertainment;Shin'en Multimedia;;;;Science fiction;;;Nanostray;
5502;nanostray-2;Mar 11, 2008 - Nintendo DS;Majesco;;;Shooter;;Science fiction;Nintendo DS: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op , LAN Co-op  yes, Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ;;Nanostray;
5503;nantucket;Jan 18, 2018 - PC (Microsoft Windows);Fish Eagle;Picaresque Studio;;Adventure, Indie, Role-playing (RPG), Simulator, Strategy;Single player;Historical;;Unity;Moby Dick;
5504;napoleon-dynamite-the-game;"Oct 23, 2007 - Nintendo DS; Oct 30, 2007 - PlayStation Portable";Crave Entertainment;7 Studios;;;Single player;Action, Comedy;;;;Side view, Third person
5505;napoleon-total-war;"Feb 23, 2010 - Mac; Feb 23, 2010 - PC (Microsoft Windows)";Sega, Typhoon Games, Feral Interactive;The Creative Assembly;Feral Interactive;Real Time Strategy (RTS), Strategy, Tactical, Turn-based strategy (TBS);Multiplayer, Single player;Fantasy, Historical;PC (Microsoft Windows): Offline Co-op max players: 0, Online Co-op max players: 2, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ;TW Engine 3;;Bird view / Isometric
5506;narc;"Dec 31, 1988 - Arcade; Dec 31, 1990 - Commodore C64/128; Dec 31, 1990 - Amiga; Dec 31, 1990 - Nintendo Entertainment System (NES); Dec 31, 1990 - ZX Spectrum; Dec 31, 1990 - Atari ST/STE; Dec 31, 1990 - Amstrad CPC";Ocean Software, Acclaim Entertainment, Williams Entertainment;Williams Entertainment;;Arcade, Shooter;Multiplayer, Single player;Action;;;;Side view
5507;narcosis;"Mar 28, 2017 - Mac; Mar 28, 2017 - PC (Microsoft Windows); May 10, 2017 - Xbox One; Jul 24, 2018 - PlayStation 4";Honor Code, Inc.;Honor Code, Inc.;;Adventure, Indie;Single player;Horror, Mystery, Survival;;Unity 4;;First person, Virtual Reality
5508;narcos-rise-of-the-cartels;"Nov 19, 2019 - PlayStation 4; Nov 19, 2019 - PC (Microsoft Windows); Nov 21, 2019 - Nintendo Switch; Nov 22, 2019 - Xbox One";Curve Digital;Kuju Entertainment;;Strategy;Single player;Action;;Unreal Engine 4;;
5509;narco-terror;"Jun 03, 2013 - PC (Microsoft Windows); Jul 30, 2013 - PlayStation Network; Jul 31, 2013 - Xbox Live Arcade";Koch Media, Deep Silver;Koch Media;;Shooter;Co-operative, Multiplayer, Single player;Action;PC (Microsoft Windows): Offline Co-op max players: 2, Online Co-op max players: 2, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out  yes;;;
5510;naruto-clash-of-ninja;Apr 11, 2003 - Nintendo GameCube;Tomy, D3 Publisher;Eighting/Razing;;Fighting;Single player, Split screen;Action;;;Naruto: Clash of Ninja;Side view
5511;naruto-clash-of-ninja-2;Dec 04, 2003 - Nintendo GameCube;Tomy;8ing, Raizing;;Fighting;Multiplayer, Single player;Action;;;Naruto: Clash of Ninja;Third person
5512;naruto-clash-of-ninja-revolution;Feb 22, 2007 - Wii;D3Publisher;Tomy;;Adventure, Fighting, Hack and slash/Beat 'em up;Single player;Action;;;Naruto: Clash of Ninja;Side view, Third person
5513;naruto-clash-of-ninja-revolution-2;Oct 21, 2008 - Wii;Tomy;Eighting;;Fighting;Single player;Action;;;Naruto: Clash of Ninja;First person, Third person
5514;naruto-ninja-council;May 01, 2003 - Game Boy Advance;Tomy;Aspect;;Hack and slash/Beat 'em up, Strategy;Multiplayer, Single player;Action;;;Naruto: Ninja Council;Side view
5515;naruto-ninja-council-2;Apr 29, 2004 - Game Boy Advance;D3 Publisher;Aspect, Tomy;;Hack and slash/Beat 'em up, Platform;Multiplayer, Single player;Action;;;Naruto: Ninja Council;Side view
5516;naruto-ninja-council-3;Apr 27, 2006 - Nintendo DS;Tomy;Aspect;;Hack and slash/Beat 'em up, Turn-based strategy (TBS);Multiplayer, Single player;;;;Naruto: Ninja Council;Side view
5517;naruto-ninja-destiny;Dec 14, 2006 - Nintendo DS;D3Publisher;Tomy;;Fighting;Multiplayer, Single player;Action;;;Naruto: Ninja Destiny;Side view
5518;naruto-path-of-the-ninja;Jul 22, 2004 - Nintendo DS;Tomy, D3Publisher;;;Adventure, Role-playing (RPG);Single player;Action;;;Naruto: Path of the Ninja;Side view
5519;naruto-path-of-the-ninja-2;Jul 13, 2006 - Nintendo DS;;Tomy;;Adventure, Role-playing (RPG), Turn-based strategy (TBS);Single player;Action;;;Naruto: Path of the Ninja;Bird view / Isometric
5520;naruto-powerful-shippuden;Nov 29, 2012 - Nintendo 3DS;Namco Bandai Games;Inti Creates;;Adventure;Single player;Action, Comedy;;;Naruto;Side view
5521;naruto-rise-of-a-ninja;Oct 30, 2007 - Xbox 360;Ubisoft Entertainment;Ubisoft Montreal;;Adventure, Fighting, Role-playing (RPG);Multiplayer, Single player, Split screen;Action;;Jade;;Third person
5522;naruto-shippuden-clash-of-ninja-revolution-iii;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again
5523;naruto-shippuden-dragon-blade-chronicles;Nov 26, 2009 - Wii;505 Games;Tomy, Eighting;;Hack and slash/Beat 'em up;Multiplayer, Single player;Action;;;Naruto;Third person
5524;naruto-shippuden-kizuna-drive;Jul 15, 2010 - PlayStation Portable;Namco Bandai Games;Premium Agency;;Adventure, Fighting;Multiplayer, Single player;Action;PlayStation Portable: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op , LAN Co-op  yes, Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;Naruto: Uzumaki Chronicles;Third person
5525;naruto-shippuden-legends-akatsuki-rising;Oct 06, 2009 - PlayStation Portable;Namco Bandai Games;Racjin;;Fighting;Multiplayer, Single player;Action;;;Naruto: Uzumaki Chronicles;Side view
5526;naruto-shippuden-ninja-council-4;Jul 19, 2007 - Nintendo DS;Tomy;Aspect;;Adventure, Hack and slash/Beat 'em up, Platform;Multiplayer, Single player;Action;;;Naruto: Ninja Council;Side view
5527;naruto-shippuden-ninja-destiny-2;Oct 15, 2009 - Nintendo DS;Tomy;;;Fighting;;;;;Naruto: Ninja Destiny;
5528;naruto-shippuden-shinobi-rumble;"Apr 22, 2010 - Nintendo DS; Jul 14, 2016 - Android; Jul 14, 2016 - iOS";;Tomy;;Fighting;Single player;Action;;;Naruto: Ninja Council;Side view
5529;naruto-shippuden-ultimate-ninja-heroes-3;Dec 10, 2009 - PlayStation Portable;Namco Bandai Games;CyberConnect2;;Adventure, Fighting;;Action;;;Naruto;
5530;naruto-shippuden-ultimate-ninja-impact;Oct 19, 2011 - PlayStation Portable;Namco Bandai Games;;;Fighting;Single player;Action;;;Naruto: Ultimate Ninja;Third person
5531;naruto-shippuden-ultimate-ninja-storm-2;"Oct 15, 2010 - PlayStation 3; Oct 15, 2010 - Xbox 360; Aug 25, 2017 - PlayStation 4; Aug 25, 2017 - Xbox One; Aug 25, 2017 - PC (Microsoft Windows); Apr 26, 2018 - Nintendo Switch";Bandai Namco Entertainment;CyberConnect2;;Adventure, Fighting, Strategy;Multiplayer, Single player;Action;;;Naruto: Ultimate Ninja;Third person
5532;naruto-shippuden-ultimate-ninja-storm-3;"Mar 05, 2013 - PlayStation 3; Mar 05, 2013 - PC (Microsoft Windows); Mar 05, 2013 - Xbox 360";Bandai Namco Entertainment;CyberConnect2;;Fighting;Multiplayer, Single player, Split screen;Action;;;Naruto: Ultimate Ninja;Third person
5533;naruto-shippuden-ultimate-ninja-storm-3-full-burst;"Oct 22, 2013 - PlayStation 3; Oct 22, 2013 - PC (Microsoft Windows); Oct 22, 2013 - Xbox 360; Aug 25, 2017 - PlayStation 4; Aug 25, 2017 - Xbox One; Apr 26, 2018 - Nintendo Switch";Namco Bandai Games;CyberConnect2;;Adventure, Fighting;Multiplayer, Single player;Action;;;Naruto: Ultimate Ninja;Third person
5534;naruto-shippuden-ultimate-ninja-storm-4;"Feb 04, 2016 - PlayStation 4; Feb 04, 2016 - Xbox One; Feb 04, 2016 - PC (Microsoft Windows)";Bandai Namco Entertainment;CyberConnect2;;Adventure, Fighting;Multiplayer, Single player;Action;Xbox One: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 8, Offline max players: 2, Offline Co-op , Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;Naruto: Ultimate Ninja;Side view
5535;naruto-shippuden-ultimate-ninja-storm-4-road-to-boruto-expansion;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again
5536;naruto-shippuden-ultimate-ninja-storm-generations;"Feb 23, 2012 - PlayStation 3; Feb 23, 2012 - Xbox 360";Bandai Namco Entertainment;CyberConnect2;;Fighting;Multiplayer, Single player, Split screen;Action;;;Naruto: Ultimate Ninja;Third person
5537;naruto-shippuden-ultimate-ninja-storm-revolution;"Sep 11, 2014 - PlayStation 3; Sep 11, 2014 - Xbox 360; Sep 15, 2014 - PC (Microsoft Windows)";Bandai Namco Games;CyberConnect2;;Adventure, Fighting;Multiplayer, Single player;Action;;;Naruto: Ultimate Ninja;Third person
5538;naruto-shippuden-ultimate-ninja-storm-trilogy;"Jul 27, 2017 - PlayStation 4; Aug 25, 2017 - Xbox One; Aug 25, 2017 - PC (Microsoft Windows); Apr 26, 2018 - Nintendo Switch";Bandai Namco Entertainment;;;Fighting;Multiplayer, Single player;Action, Fantasy;;;Naruto: Ultimate Ninja;Third person
5539;naruto-the-broken-bond;Nov 18, 2008 - Xbox 360;Ubisoft Entertainment;Ubisoft Montreal;;Adventure, Fighting;Multiplayer, Single player, Split screen;Action, Open world;;Jade;Naruto;Third person
5540;naruto-to-boruto-shinobi-striker;"Aug 30, 2018 - PlayStation 4; Aug 31, 2018 - Xbox One; Aug 31, 2018 - PC (Microsoft Windows)";Bandai Namco Entertainment, Bandai Namco Entertainment America, Bandai Namco Entertainment Europe;Soleil;;Fighting;Co-operative, Multiplayer, Single player;Action, Fantasy;;Unreal Engine;Naruto;Third person
5541;naruto-ultimate-ninja;Oct 23, 2003 - PlayStation 2;;CyberConnect2;;Fighting, Hack and slash/Beat 'em up;Single player, Split screen;Action;;;Naruto: Ultimate Ninja;Side view
5542;naruto-ultimate-ninja-2;Sep 30, 2004 - PlayStation 2;NAMCO BANDAI Games America Inc., Bandai, Atari Europe;CyberConnect2;;Fighting;Multiplayer, Single player;Action, Fantasy;;;Naruto: Ultimate Ninja;Side view
5543;naruto-ultimate-ninja-3;Dec 22, 2005 - PlayStation 2;Namco Bandai Games;CyberConnect2;;Fighting;Multiplayer, Single player;Action;;;Naruto: Ultimate Ninja;First person
5544;naruto-ultimate-ninja-heroes;Aug 28, 2007 - PlayStation Portable;Namco Bandai Games;;;Fighting;Multiplayer, Single player;Action;;;Naruto: Ultimate Ninja;Side view
5545;naruto-ultimate-ninja-heroes-2-the-phantom-fortress;Mar 30, 2006 - PlayStation Portable;;;;Fighting;Single player;;;;Naruto: Ultimate Ninja;Side view
5546;naruto-ultimate-ninja-storm;"Nov 04, 2008 - PlayStation 3; Jul 27, 2017 - PlayStation 4; Aug 25, 2017 - Xbox One; Aug 25, 2017 - PC (Microsoft Windows); Apr 26, 2018 - Nintendo Switch";Bandai Namco Entertainment;CyberConnect2;;Adventure, Fighting;Multiplayer, Single player;Action;;;Naruto: Ultimate Ninja;Side view, Third person
5547;naruto-uzumaki-chronicles;Sep 18, 2005 - PlayStation 2;Namco Bandai Games;Cavia;;Adventure, Puzzle;Single player;Action;;;Naruto: Uzumaki Chronicles;Third person
5548;naruto-uzumaki-chronicles-2;Nov 16, 2006 - PlayStation 2;Namco Bandai Games;Cavia;;Adventure, Fighting, Hack and slash/Beat 'em up;Multiplayer, Single player;Action;;;Naruto: Uzumaki Chronicles;Third person
5549;nascar;;;;;Pinball, Racing;;;;;NASCAR;
5550;nascar-06-total-team-control;"Aug 30, 2005 - PlayStation 2; Aug 30, 2005 - Xbox";EA Sports;EA Tiburon;;Racing, Simulator, Sport;Single player, Split screen;;;;NASCAR Racing;
5551;nascar-07;"Sep 06, 2006 - PlayStation 2; Sep 06, 2006 - Xbox; Sep 06, 2006 - PlayStation Portable";EA Sports;EA Tiburon, Exient Entertainment;;Racing, Simulator, Sport;Single player, Split screen;;;;NASCAR Racing;
5552;nascar-08;"Jul 23, 2007 - PlayStation 2; Jul 23, 2007 - PlayStation 3; Jul 23, 2007 - Xbox 360";EA Sports;EA Tiburon, Exient Entertainment;;Racing, Sport;Multiplayer, Single player, Split screen;;;;NASCAR Racing;
5553;nascar-09;"Jun 10, 2008 - PlayStation 2; Jun 10, 2008 - PlayStation 3; Jun 10, 2008 - Mobile; Jun 10, 2008 - Xbox 360";EA Sports;EA Tiburon;;Racing, Sport;Multiplayer, Single player, Split screen;;;;NASCAR Racing;
5554;nascar-2001;Oct 19, 2000 - PlayStation;;;;Racing, Simulator, Sport;;;;;NASCAR;
5555;nascar-2005-chase-for-the-cup;"Aug 31, 2004 - PlayStation 2; Aug 31, 2004 - Xbox; Sep 04, 2004 - Nintendo GameCube";EA Sports;EA Tiburon;;Racing, Simulator, Sport;Multiplayer, Single player, Split screen;;;;NASCAR Racing;
5556;nascar-2011-the-game;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again
5557;nascar-dirt-to-daytona;"Nov 11, 2002 - PlayStation 2; Nov 27, 2002 - Nintendo GameCube";Infogrames;Monster Games;;Racing, Simulator, Sport;Single player, Split screen;;;;NASCAR;Third person
5558;nascar-heat;Jan 01, 2001 - Game Boy Color;;;;Racing, Simulator;;;;;NASCAR;
5559;nascar-heat-2;"Sep 12, 2017 - PlayStation 4; Sep 12, 2017 - Xbox One; Sep 12, 2017 - PC (Microsoft Windows)";704Games;Monster Games;;Racing;Multiplayer, Single player, Split screen;Non-fiction;;;Nascar Heat;First person, Third person
5560;nascar-heat-2002;"Jun 18, 2001 - PlayStation 2; Jun 18, 2001 - Game Boy Advance; Jun 18, 2001 - Xbox";Infogrames;Monster Games, Crawfish Interactive;;Racing, Sport;Single player, Split screen;;;;NASCAR;
5561;nascar-heat-3;"Sep 07, 2018 - PlayStation 4; Sep 07, 2018 - Xbox One; Sep 07, 2018 - PC (Microsoft Windows)";704Games;Monster Games;;Racing;Multiplayer, Single player;;;;Nascar Heat;First person, Third person
5562;nascar-heat-4;"Sep 13, 2019 - PlayStation 4; Sep 13, 2019 - Xbox One; Sep 13, 2019 - PC (Microsoft Windows)";704Games;Monster Games;;Racing, Simulator;Multiplayer, Single player;Action;;;Nascar Heat;Third person
5563;nascar-heat-evolution;"Sep 13, 2016 - PlayStation 4; Sep 13, 2016 - Xbox One; Sep 13, 2016 - PC (Microsoft Windows)";Dusenberry Martin Racing;Monster Games;;Racing, Simulator, Sport;Multiplayer, Single player;Non-fiction;Xbox One: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 40, Offline max players: 0, Offline Co-op , Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;Nascar Heat;First person, Third person
5564;nascar-kart-racing;Feb 10, 2009 - Wii;EA Sports;Electronic Arts;;Racing, Sport;Single player, Split screen;;;;NASCAR Racing;Third person
5565;nascar-racing-2002-season;"Feb 14, 2002 - Mac; Feb 14, 2002 - PC (Microsoft Windows)";Sierra Entertainment;Papyrus Design Group;;Racing, Simulator, Sport;Multiplayer, Single player;Non-fiction;;;NASCAR Racing;First person, Third person
5566;nascar-racing-2003-season;"Feb 13, 2003 - Mac; Feb 13, 2003 - PC (Microsoft Windows)";Sierra Entertainment, Aspyr Media;Papyrus Design Group;;Racing, Simulator, Sport;Multiplayer, Single player;Non-fiction;;;NASCAR Racing;First person, Third person
5567;nascar-racing-4;Feb 06, 2001 - PC (Microsoft Windows);Sierra Entertainment;Papyrus Design Group;;Racing, Sport;Multiplayer, Single player;Non-fiction;;;NASCAR Racing;First person, Third person
5568;nascar-simracing;Feb 15, 2005 - PC (Microsoft Windows);Electronic Arts;EA Tiburon;;Racing, Simulator, Sport;Multiplayer, Single player;Non-fiction;;;NASCAR;First person, Third person
5569;nascar-the-game-2013;Jul 24, 2013 - PC (Microsoft Windows);Eutechnyx;;;Racing, Simulator, Sport;Multiplayer, Single player;;;;NASCAR;Third person
5570;nascar-the-game-inside-line;"Nov 06, 2012 - PlayStation 3; Nov 06, 2012 - Wii; Nov 06, 2012 - Xbox 360; Jul 24, 2013 - PC (Microsoft Windows)";Activision;Eutechnyx;;Arcade, Racing, Simulator, Sport;Multiplayer, Single player, Split screen;Action;;;NASCAR Racing;
5571;nascar-thunder-2002;"Oct 02, 2001 - PlayStation; Oct 15, 2001 - PlayStation 2; Nov 15, 2001 - Xbox";EA Sports;EA Tiburon;;Racing, Simulator, Sport;Single player, Split screen;;;;NASCAR;
5572;nascar-thunder-2003;"Sep 19, 2002 - PlayStation; Sep 19, 2002 - Xbox; Sep 19, 2002 - Nintendo GameCube; Sep 29, 2002 - PlayStation 2; Oct 16, 2002 - PC (Microsoft Windows)";Electronic Arts;EA Sports, Budcat Creations, Image Space Incorporated;;Racing, Simulator, Sport;Multiplayer, Single player, Split screen;;;;NASCAR Racing;Third person
