id;title;release_dates;publisher;dev;support_dev;genres;game_modes;themes;mult_modes;game_eng;series;perspective;crit_score;user_score
4149;iron-aces;Mar 06, 2001 - Dreamcast;;;;Simulator;;;;;;;67;7,6
4150;iron-brigade;"Jun 22, 2011 - Xbox 360; Aug 13, 2012 - PC (Microsoft Windows)";Microsoft Game Studios;Double Fine Productions;;Shooter, Strategy;Co-operative, Multiplayer, Single player;Action, Comedy, Fantasy, Historical;Xbox 360: Offline Co-op max players: 0, Online Co-op max players: 4, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ;;;Third person;82;8
4151;ironcast;"Mar 26, 2015 - PC (Microsoft Windows); Mar 01, 2016 - PlayStation Network; Aug 10, 2017 - Nintendo Switch";Ripstone;Dreadbit;;Indie, Puzzle, Role-playing (RPG), Strategy, Turn-based strategy (TBS);Single player;Survival, Warfare;;;;Side view;80;7,9
4152;ironclad-tactics;"Sep 18, 2013 - PC (Microsoft Windows); Jan 20, 2015 - PlayStation Network";Zachtronics;Zachtronics;;Indie, Real Time Strategy (RTS), Strategy, Tactical, Turn-based strategy (TBS);Co-operative, Multiplayer, Single player;Fantasy, Historical, Warfare;PC (Microsoft Windows): Offline Co-op max players: 0, Online Co-op max players: 2, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out  yes;;;;69;7,2
4153;iron-danger;"Mar 25, 2020 - Mac; Mar 25, 2020 - PC (Microsoft Windows)";Daedalic Entertainment;Action Squad Studios;;Adventure, Indie, Role-playing (RPG), Tactical;Single player;Action, Fantasy;;Unity;;Bird view / Isometric, Third person;73;7,6
4154;ironfall-invasion;Feb 01, 2015 - Nintendo 3DS;VD-Dev;VD-Dev;;Shooter;;Action, Science fiction;;;;Third person;48;5,6
4155;iron-front-liberation-1944;May 25, 2012 - PC (Microsoft Windows);Deep Silver;AWAR;;Shooter, Simulator, Strategy;Multiplayer, Single player;Action;;;;First person;55;6,7
4156;iron-man;"May 02, 2008 - PlayStation 2; May 02, 2008 - PlayStation 3; May 02, 2008 - Mobile; May 02, 2008 - Wii; May 02, 2008 - PlayStation Portable; May 02, 2008 - PC (Microsoft Windows); May 02, 2008 - Xbox 360; May 02, 2008 - Nintendo DS";Sega;Secret Level, Artificial Mind & Movement;;Shooter;Single player;Action, Science fiction;;;Marvel;Third person;56;6,4
4157;iron-man-2;"Apr 30, 2010 - PlayStation 3; Apr 30, 2010 - Wii; Apr 30, 2010 - PlayStation Portable; Apr 30, 2010 - Xbox 360; Apr 30, 2010 - Nintendo DS; May 03, 2010 - iOS; Aug 25, 2010 - BlackBerry OS";Sega, Gameloft;Gameloft, Sega Studios San Francisco, High Voltage Software;;Adventure, Shooter;Single player;Action, Science fiction;;;Marvel;Third person;54;6,3
4158;iron-phoenix;Apr 25, 2005 - Xbox;;;;Fighting;;Action, Fantasy, Historical;;;;;58;6,5
4159;iron-sky-invasion;"Dec 12, 2012 - PlayStation 3; Dec 12, 2012 - Mac; Dec 12, 2012 - Android; Dec 12, 2012 - PC (Microsoft Windows); Dec 12, 2012 - Xbox 360";TopWare Interactive;Reality Pump;;Adventure, Real Time Strategy (RTS), Simulator, Strategy;Single player;Action, Fantasy, Historical, Science fiction;;;;;49;5,9
4160;iron-storm;Dec 31, 2002 - PC (Microsoft Windows);Microids;;;Adventure, Indie;Multiplayer, Single player;Action;;;;;69;5,6
4161;iron-warriors-t-72-tank-command;Jun 03, 2006 - PC (Microsoft Windows);Strategy First;Strategy First;;Simulator, Strategy;Multiplayer, Single player;Warfare;;;;;56;6,6
4162;irony-curtain-from-matryoshka-with-love;"May 16, 2019 - PC (Microsoft Windows); Jun 27, 2019 - Nintendo Switch; Jun 28, 2019 - PlayStation 4; Jun 28, 2019 - Xbox One";Artifex Mundi;Artifex Mundi;;Adventure, Indie;Single player;Comedy;;;;Side view;81;7,8
4163;islands-of-wakfu;Feb 03, 2011 - Xbox 360;;;;Adventure, Hack and slash/Beat 'em up;;;Xbox 360: Offline Co-op max players: 2, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ;;;;62;7,3
4164;island-time-vr;"Dec 31, 2018 - SteamVR; Dec 31, 2018 - PlayStation VR; Dec 31, 2018 - Oculus VR";Flight School Studio;Flight School Studio;;Arcade, Indie, Simulator;Single player;;;;;First person, Virtual Reality;61;4,4
4165;ittle-dew-2;"Nov 15, 2016 - Mac; Nov 15, 2016 - PlayStation 4; Nov 15, 2016 - Xbox One; Nov 15, 2016 - Linux; Nov 15, 2016 - PC (Microsoft Windows); Nov 14, 2017 - Nintendo Switch";Nicalis, Inc.;Ludosity;;Adventure, Indie, Puzzle, Role-playing (RPG);Single player;Action, Comedy, Fantasy;;Unity;Ittle Dew;Bird view / Isometric;75;6
4166;ittle-dew-2+;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;77;7,7
4167;ivy-the-kiwi?;"Dec 17, 2009 - Mobile; Apr 22, 2010 - Wii; Apr 22, 2010 - Nintendo DS";Rising Star Games, Bandai Namco Entertainment, XSEED Games;Prope;;Platform;Single player;;;;;Side view;74;7,2
4168;izuna-2-the-unemployed-ninja-returns;Nov 29, 2007 - Nintendo DS;Atlus;Ninja Studio;;Role-playing (RPG);;Comedy, Fantasy;;;;;65;8,1
4169;izuna-legend-of-the-unemployed-ninja;Jun 08, 2006 - Nintendo DS;Atlus;;;Role-playing (RPG);;;;;;;66;8
4170;jackass-the-game;"Sep 24, 2007 - PlayStation 2; Sep 27, 2007 - PlayStation Portable; Jan 08, 2008 - Nintendo DS";Red Mile Entertainment, Empire Interactive;Sidhe Interactive, Sensory Sweep Studios;;Adventure, Sport;Single player;Action, Comedy;;;MTV;;58;6,7
4171;jackie-chan-adventures;"Oct 01, 2004 - PlayStation 2; Oct 01, 2004 - PlayStation Portable; Oct 01, 2004 - Xbox 360";Hip Games;Atomic Planet Entertainment;;Fighting, Hack and slash/Beat 'em up, Platform, Sport;Single player;Action;;;Jackie Chan;Third person;75;8
4172;jack-keane;Jun 27, 2008 - PC (Microsoft Windows);Deck13 Interactive;Deck13 Interactive;;Adventure;Single player;Comedy;;;Jack Keane;;69;6,6
4173;jack-keane-2-the-fire-within;Jun 28, 2013 - PC (Microsoft Windows);astragon Entertainment GmbH;;;Adventure;Single player;;;;Jack Keane;;52;6,5
4174;jack-the-ripper;"Dec 31, 1987 - Commodore C64/128; Dec 31, 1987 - ZX Spectrum; Dec 31, 1987 - Amstrad CPC";CRL Group PLC;St. Bride's School;;Adventure, Puzzle;Single player;Drama, Historical, Horror;;;;First person, Text;58;6,4
4175;jacob-jones-and-the-bigfoot-mystery-episode-one-a-bump-in-the-night;;Sony Computer Entertainment;;;;;;;;;;74;7,7
4176;jade-cocoon-2;Aug 30, 2001 - PlayStation 2;Genki;Genki;;Adventure, Role-playing (RPG);Single player;Action, Fantasy;;;Jade Cocoon;Third person;76;7,9
4177;jade-empire;"Apr 12, 2005 - Mac; Apr 12, 2005 - Xbox; Apr 12, 2005 - PC (Microsoft Windows); Apr 12, 2005 - Xbox 360";Microsoft Game Studios, 2K Games, TransGaming Technologies, Take-Two Interactive, Electronic Arts;BioWare, LTI Gray Matter, BioWare Edmonton;;Adventure, Role-playing (RPG);Single player;Action, Fantasy;;Odyssey;;Third person;89;8,5
4178;jade-empire-special-edition;"Apr 12, 2005 - Mac; Apr 12, 2005 - Xbox; Apr 12, 2005 - PC (Microsoft Windows); Apr 18, 2005 - Xbox 360; Oct 06, 2016 - iOS; Nov 15, 2016 - Android";Electronic Arts, Microsoft Game Studios, 2K Games, TransGaming Technologies;BioWare, LTI Gray Matter;Aspyr Media;Adventure, Role-playing (RPG);Single player;Action, Fantasy;;Odyssey;;Third person;81;8,1
4179;jagged-alliance-2-unfinished-business;Dec 30, 2000 - PC (Microsoft Windows);Interplay Entertainment;Sirtech Canada Ltd.;;Role-playing (RPG), Strategy;Single player;;;;Jagged Alliance;Bird view / Isometric;64;7,6
4180;jagged-alliance-back-in-action;"Feb 08, 2012 - PC (Microsoft Windows); Feb 14, 2014 - Mac; Feb 14, 2014 - Linux";THQ Nordic;bitComposer Games;Bigmoon Entertainment;Role-playing (RPG), Simulator, Strategy, Tactical, Turn-based strategy (TBS);Single player;Action;;;Jagged Alliance;Bird view / Isometric;62;5,5
4181;jagged-alliance-crossfire;Aug 24, 2012 - PC (Microsoft Windows);THQ Nordic;;;Role-playing (RPG), Simulator, Strategy, Tactical, Turn-based strategy (TBS);Single player;Action, Warfare;;;Jagged Alliance;Bird view / Isometric;63;4,3
4182;jagged-alliance-flashback;"Oct 21, 2014 - Mac; Oct 21, 2014 - Linux; Oct 21, 2014 - PC (Microsoft Windows)";;;;Indie, Role-playing (RPG), Strategy, Tactical;Multiplayer, Single player;Action;;Unity;Jagged Alliance;Bird view / Isometric;52;4,3
4183;jagged-alliance-rage;"Dec 06, 2018 - PlayStation 4; Dec 06, 2018 - Xbox One; Dec 06, 2018 - PC (Microsoft Windows)";HandyGames, THQ Nordic;Cliffhanger Productions;;Adventure, Role-playing (RPG), Simulator, Strategy, Tactical, Turn-based strategy (TBS);Co-operative, Multiplayer, Single player;Action, Survival;All platforms: Offline Co-op max players: , Online Co-op max players: 2, Online max players: , Offline max players: , Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;Jagged Alliance;Bird view / Isometric;59;3
4184;jak-3;"Nov 26, 2004 - PlayStation 2; Feb 17, 2012 - PlayStation 3; Jun 21, 2013 - PlayStation Vita; Nov 28, 2017 - PlayStation 4";Sony Computer Entertainment, Inc. (SCEI);Naughty Dog;;Platform, Shooter;Single player;Action, Comedy, Science fiction;;Kinetica;Jak and Daxter;Third person;84;8,7
4185;jak-and-daxter-collection;"Feb 07, 2012 - PlayStation 3; Jun 18, 2013 - PlayStation Vita";Sony Computer Entertainment, Inc. (SCEI);Naughty Dog;Mass Media Inc;Adventure, Platform, Strategy;Single player;Action;;;Jak and Daxter;Third person;81;8,7
4186;jak-and-daxter-the-lost-frontier;"Nov 03, 2009 - PlayStation 2; Nov 03, 2009 - PlayStation Portable";Sony Computer Entertainment, Inc. (SCEI);High Impact Games;;Adventure, Platform;Single player;Action, Comedy, Fantasy, Science fiction;;;Jak and Daxter;Third person;72;5,6
4187;jak-and-daxter-the-precursor-legacy;"Dec 03, 2001 - PlayStation 2; Feb 07, 2012 - PlayStation 3; Jun 19, 2013 - PlayStation Vita; Aug 22, 2017 - PlayStation Network; Aug 22, 2017 - PlayStation 4";Sony Computer Entertainment, Inc. (SCEI);Naughty Dog;;Adventure, Platform;Single player;Action, Comedy;;Kinetica;Jak and Daxter;Third person;90;8,8
4188;jake-hunter-detective-chronicles;Jul 11, 2008 - Nintendo DS;Arc System Works;;;Adventure, Point-and-click, Visual Novel;Single player;;;;Jake Hunter;;47;tbd
4189;jak-ii;"Oct 14, 2003 - PlayStation 2; Feb 07, 2012 - PlayStation 3; Nov 28, 2017 - PlayStation 4";Sony Computer Entertainment, Inc. (SCEI);Naughty Dog;;Adventure, Platform, Shooter;Single player;Action, Comedy, Science fiction;;Kinetica;Jak and Daxter;Third person;87;8,3
4190;jak-x-combat-racing;"Oct 18, 2005 - PlayStation 2; Nov 28, 2017 - PlayStation 4; Dec 06, 2017 - PlayStation Network";Sony Computer Entertainment, Inc. (SCEI);Naughty Dog;;Racing;Multiplayer, Single player, Split screen;Action, Comedy, Science fiction;;Kinetica;Jak and Daxter;Third person;76;7,9
4191;jambo-safari-animal-rescue;Dec 17, 2009 - Wii;;;;Racing;;Action;;;;;56;5,4
4192;james-bond-007-agent-under-fire;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;74;6,6
4193;james-bond-007-blood-stone;"Nov 02, 2010 - PlayStation 3; Nov 02, 2010 - PC (Microsoft Windows); Nov 02, 2010 - Xbox 360; Nov 02, 2010 - Nintendo DS";Activision, Square Enix;Bizarre Creations, n-Space;;Shooter;Multiplayer, Single player;Action;;;James Bond;Third person;70;tbd
4194;james-bond-007-everything-or-nothing;"Nov 17, 2003 - Game Boy Advance; Feb 11, 2004 - PlayStation 2; Feb 11, 2004 - Xbox; Feb 11, 2004 - Nintendo GameCube; Mar 21, 2017 - PlayStation 4; Apr 21, 2017 - PC (Microsoft Windows)";Electronic Arts;Griptonite Games, EA Redwood Shores;;Adventure, Shooter, Sport;Single player, Split screen;Action;;id Tech 3;James Bond;Third person;84;8,4
4195;james-bond-007-nightfire;"Nov 18, 2002 - PlayStation 2; Nov 18, 2002 - Xbox; Nov 18, 2002 - Nintendo GameCube; Nov 28, 2002 - PC (Microsoft Windows); Mar 17, 2003 - Game Boy Advance; Jun 21, 2004 - Mac";Electronic Arts, Aspyr Media;Eurocom, Gearbox Software, JV Games, TransGaming Inc.;;Shooter;Single player, Split screen;Action;;;James Bond;First person;59;6
4196;james-bond-007-nightfire;"Nov 18, 2002 - PlayStation 2; Nov 18, 2002 - Xbox; Nov 18, 2002 - Nintendo GameCube; Nov 28, 2002 - PC (Microsoft Windows); Mar 17, 2003 - Game Boy Advance; Jun 21, 2004 - Mac";Electronic Arts, Aspyr Media;Eurocom, Gearbox Software, JV Games, TransGaming Inc.;;Shooter;Single player, Split screen;Action;;;James Bond;First person;59;6
4197;jamestown-legend-of-the-lost-colony;"Jun 08, 2011 - Mac; Jun 08, 2011 - Linux; Jun 08, 2011 - PC (Microsoft Windows)";Final Form Games;Final Form Games;;Indie, Shooter;Co-operative, Multiplayer, Single player;Action, Fantasy, Historical, Science fiction;PC (Microsoft Windows): Offline Co-op max players: 4, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ;;;Bird view / Isometric;81;7,4
4198;jam-sessions;Sep 28, 2007 - Nintendo DS;Ubisoft;;;Music, Real Time Strategy (RTS), Simulator, Strategy;;Educational;;;Jam Sessions;;72;5,3
4199;jam-sessions-2;;;;;Music;;Educational;;;Jam Sessions;;66;tbd
4200;jaws-unleashed;May 23, 2006 - PlayStation 2;;Appaloosa Interactive;;Hack and slash/Beat 'em up;Single player;Action, Horror;;;Jaws;Third person;55;7,6
4201;jazz-and-faust;Jun 13, 2002 - PC (Microsoft Windows);1C Company;Saturn+;;;;;;;;;42;tbd
4202;jazz-jackrabbit;Jul 03, 1994 - PC DOS;Epic Games;Epic Games;;Adventure, Platform, Shooter;Single player;Action, Comedy, Science fiction;;;Jazz Jackrabbit;Side view;68;3,5
4203;jazzpunk;"Feb 07, 2014 - PC (Microsoft Windows); Sep 20, 2016 - PlayStation 4";Adult Swim Games;Necrophone Games;;Adventure, Indie, Puzzle, Shooter, Sport;Single player;Action, Comedy;;Unity;;First person;75;7,7
4204;jenga-world-tour;"Nov 13, 2007 - Wii; Nov 13, 2007 - Nintendo DS";Atari;Atomic Planet Entertainment;;Puzzle, Strategy;Single player, Split screen;;;;;First person;32;tbd
4205;jeremy-mcgrath-supercross-2000;"Jul 14, 2000 - Nintendo 64; Jul 14, 2000 - PlayStation; Jul 14, 2000 - Game Boy Color; Jul 14, 2000 - Dreamcast";Acclaim Entertainment;Acclaim Entertainment;;Racing, Sport;Single player, Split screen;;;;;Third person;43;tbd
4206;jeremy-mcgrath-supercross-world;"Feb 15, 2001 - PlayStation 2; Feb 27, 2002 - Nintendo GameCube";Acclaim Entertainment;Acclaim Entertainment;;Racing, Sport;Single player, Split screen;Action;;;;Third person;36;6
4207;jet-car-stunts;"Nov 13, 2009 - iOS; Dec 01, 2010 - Android; May 01, 2014 - PC (Microsoft Windows); Jul 11, 2014 - Windows Phone; Oct 01, 2014 - Xbox 360; Oct 07, 2014 - PlayStation Network; Oct 07, 2014 - PlayStation 3; Oct 07, 2014 - PlayStation Vita; Mar 13, 2015 - Xbox One; Dec 31, 2015 - PlayStation 4";Grip Games, bitComposer Games, True Axis Pty. Ltd., Microsoft Studios;Grip Games, True Axis Pty. Ltd.;;Indie, Platform, Racing, Sport;Multiplayer, Single player;Action;;;JNKPlat;Third person;64;6
4208;jetfighter-iv-fortress-america;;;;;Simulator;;Action;;;;;60;7,5
4209;jet-force-gemini;Oct 11, 1999 - Nintendo 64;Rare;Rare;;Adventure, Platform, Shooter;Co-operative, Multiplayer, Single player;Action, Science fiction;;;;Third person;80;8,8
4210;jet-grind-radio;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;94;8
4211;jet-kave-adventure;Sep 17, 2019 - Nintendo Switch;7levels;7levels;;Adventure, Platform;Single player;Action;;;;Third person;65;6,2
4212;jetpac-refuelled;Mar 28, 2007 - Xbox Live Arcade;Microsoft Game Studios;Rare;;Arcade, Shooter;Multiplayer, Single player;Action, Science fiction;;;Jetman;Side view;73;7,2
4213;jet-set-radio;"Jun 29, 2000 - Dreamcast; Jun 29, 2003 - Game Boy Advance; Sep 19, 2012 - PlayStation 3; Sep 19, 2012 - PC (Microsoft Windows); Nov 21, 2012 - PlayStation Vita";Sega, THQ;Smilebit, Blit Software, Vicarious Visions;;Adventure, Platform;Single player;Action;;;Jet Set Radio;Third person;75;7,2
4214;jett-rocket;"Jun 28, 2010 - WiiWare; Jul 28, 2010 - Wii";Shin'en Multimedia;;;Platform;;Science fiction;;;Jett Rocket;;70;8,4
4215;jett-rocket-ii-the-wrath-of-taikai;Nov 13, 2013 - Nintendo 3DS;Shin'en Multimedia;;;;;Science fiction;;;Jett Rocket;;62;6,5
4216;jet-x2o;;;;;Racing;;;;;;;66;tbd
4217;jewel-master-egypt;Dec 03, 2009 - Nintendo DS;;;;Puzzle;;;;;;;56;tbd
4218;jewel-quest;Aug 24, 2009 - PC (Microsoft Windows);iWin;;;Puzzle, Strategy;Single player;;;;Jewel Quest;;68;tbd
4219;job-simulator;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;71;7,2
4220;joe-danger;"Jun 08, 2010 - PlayStation 3; Dec 14, 2011 - Xbox 360; Jun 24, 2013 - PC (Microsoft Windows); Sep 02, 2014 - PlayStation Network; Sep 02, 2014 - PlayStation Vita";Hello Games;Hello Games;;Adventure, Indie, Platform, Racing, Sport;Multiplayer, Single player, Split screen;Action, Comedy;;;Joe Danger;Side view;86;7,7
4221;joe-danger-2-the-movie;"Sep 14, 2012 - Xbox Live Arcade; Sep 14, 2012 - Mac; Sep 14, 2012 - PC (Microsoft Windows); Oct 09, 2012 - PlayStation Network; Oct 09, 2012 - PlayStation 3; Oct 09, 2012 - PlayStation Vita";;Hello Games;;Indie, Platform, Racing;Multiplayer, Single player;Action, Comedy;;;Joe Danger;;82;7,2
4222;joe-danger-special-edition;Jan 14, 2012 - Xbox 360;;;;Racing;;;;;;;88;7,7
4223;joggernauts;"Oct 11, 2018 - Mac; Oct 11, 2018 - PC (Microsoft Windows); Oct 11, 2018 - Nintendo Switch";Graffiti Games;Space Mace;;Indie, Platform, Puzzle;Co-operative, Multiplayer, Single player;Action;;;;Side view;70;tbd
4224;john-deere-harvest-in-the-heartland;Dec 20, 2007 - Nintendo DS;Destineer;;;Simulator, Strategy;;;;;;;43;tbd
4225;johnny-kung-fu;Jul 12, 2012 - Nintendo 3DS;;;;;;Comedy;;;;;44;4,9
4226;john-wick-hex;"Oct 08, 2019 - Mac; Oct 08, 2019 - PC (Microsoft Windows)";Good Shepherd Entertainment;Bithell Games;;Simulator, Tactical, Turn-based strategy (TBS);Single player;Action, Warfare;;;;Bird view / Isometric;74;3,8
4227;joint-operations-escalation;Nov 17, 2004 - PC (Microsoft Windows);NovaLogic;NovaLogic;;Shooter, Tactical;Co-operative, Multiplayer, Single player;Action, Warfare;PC (Microsoft Windows): Offline Co-op max players: 0, Online Co-op max players: 64, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op  yes, Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out  yes;Black Hawk engine;Joint Operations;First person;78;7,5
4228;joint-operations-typhoon-rising;Jun 15, 2004 - PC (Microsoft Windows);NovaLogic, MicroMouse;NovaLogic;;Shooter, Tactical;Co-operative, Multiplayer, Single player;Action, Warfare;;Black Hawk engine;Joint Operations;First person;82;8,6
4229;joint-task-force;Mar 27, 2007 - PC (Microsoft Windows);HD Publishing;Most Wanted Entertainment;;Real Time Strategy (RTS), Strategy;Co-operative, Multiplayer, Single player;Action, Warfare;;;;Bird view / Isometric;68;7,7
4230;jolly-rover;"May 01, 2010 - Mac; May 01, 2010 - PC (Microsoft Windows); Jun 07, 2010 - Linux";Brawsome;Brawsome;;Adventure, Indie, Point-and-click, Puzzle;Single player;Comedy;;;;;71;7,7
4231;jonah-lomu-rugby-challenge;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;73;6
4232;jonny-moseley-mad-trix;Mar 12, 2002 - Game Boy Advance;;;;Sport;;;;;;;44;5,7
4233;jotun;"Sep 29, 2015 - Mac; Sep 29, 2015 - Linux; Sep 29, 2015 - PC (Microsoft Windows)";Thunder Lotus Games;Thunder Lotus Games;;Adventure, Indie;Single player;Action, Fantasy;;;;Bird view / Isometric;79;6,6
4234;jotun-valhalla-edition;"Sep 08, 2016 - Wii U; Sep 09, 2016 - Mac; Sep 09, 2016 - PlayStation 4; Sep 09, 2016 - Xbox One; Sep 09, 2016 - Linux; Sep 09, 2016 - PC (Microsoft Windows); Apr 27, 2018 - Nintendo Switch";Thunder Lotus Games;Thunder Lotus Games;;Adventure, Indie;Single player;Action, Fantasy;;Unity 2017;;Bird view / Isometric;79;6,4
4235;journey;"Mar 13, 2012 - PlayStation 3; Jul 21, 2015 - PlayStation Network; Jul 21, 2015 - PlayStation 4; Jun 06, 2019 - PC (Microsoft Windows); Aug 06, 2019 - iOS";Sony Computer Entertainment, Inc. (SCEI);ThatGameCompany;;Adventure, Indie, Music, Platform, Role-playing (RPG);Co-operative, Single player;Action;PlayStation 3: Offline Co-op max players: 0, Online Co-op max players: 2, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out  yes;PhyreEngine;;Side view, Third person;92;8,3
4236;journey-of-a-roach;"Nov 04, 2013 - Mac; Nov 04, 2013 - Linux; Nov 04, 2013 - PC (Microsoft Windows)";Daedalic Entertainment;Koboldgames;;Adventure, Indie;Single player;;;;;Third person;65;6,9
4237;journey-to-the-center-of-the-earth;"Sep 25, 2015 - Mac; Sep 25, 2015 - Linux; Sep 25, 2015 - PC (Microsoft Windows)";InSayn;InSayn;;Adventure, Indie, Puzzle;Single player;;;;;;65;6,4
4238;journey-to-the-savage-planet;"Jan 28, 2020 - PlayStation 4; Jan 28, 2020 - Xbox One; Jan 28, 2020 - PC (Microsoft Windows)";505 Games;Typhoon Studios;;Adventure;Co-operative, Single player;Action;;;;First person;76;6,5
4239;joust;"Jul 16, 1982 - Arcade; Dec 31, 1983 - PC DOS; Dec 31, 1983 - Atari 2600; Dec 31, 1983 - Atari 8-bit; Dec 31, 1983 - Atari 5200; Dec 31, 1983 - Apple II; Dec 31, 1986 - Atari ST/STE; Oct 30, 1987 - Nintendo Entertainment System (NES); Dec 31, 1987 - Atari 7800; Dec 31, 1992 - Atari Lynx; Dec 31, 1994 - Mac; May 24, 2007 - PlayStation 3";Atari, Inc., Williams Electronics, Atarisoft, Shadowsoft, Digital Eclipse, HAL Laboratory;Williams Electronics, Williams Electronics;;Arcade, Fighting, Pinball, Platform;Multiplayer, Single player;Action;Xbox 360: Offline Co-op max players: 2, Online Co-op max players: 2, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ;;Joust;Side view;68;7
4240;joy-ride-turbo;May 23, 2012 - Xbox Live Arcade;Microsoft Studios;BigPark;;Arcade, Racing;Multiplayer, Single player, Split screen;Action, Comedy, Party;;;;Third person;67;8
4241;jsrf-jet-set-radio-future;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;88;8,2
4242;j-stars-victory-vs+;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;61;6,4
4243;judge-dredd-dredd-vs-death;"Oct 17, 2003 - PlayStation 2; Oct 17, 2003 - Xbox; Oct 17, 2003 - Nintendo GameCube; Oct 17, 2003 - PC (Microsoft Windows)";Evolved Games, Sierra;Rebellion Developments;;Shooter;Co-operative, Multiplayer, Single player, Split screen;Action, Science fiction;PC (Microsoft Windows): Offline Co-op max players: 0, Online Co-op max players: 2, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op  yes, Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ;;Judge Dredd;First person;57;6,7
4244;judgment;Dec 13, 2018 - PlayStation 4;Sega Games;Ryu ga Gotoku Studios;;Adventure;Single player;Action, Drama, Mystery, Thriller;;Dragon Engine;;Third person;80;8,4
4245;juiced;"Jun 13, 2005 - PlayStation 2; Jun 13, 2005 - Mobile; Jun 13, 2005 - Xbox; Jun 13, 2005 - PC (Microsoft Windows)";THQ;Juice Games;;Racing;Multiplayer, Single player, Split screen;Non-fiction, Open world;;;Juiced;First person, Third person;68;8,1
4246;juiced-2-hot-import-nights;"Sep 17, 2007 - PlayStation 2; Sep 17, 2007 - Xbox 360; Sep 17, 2007 - Nintendo DS; Oct 08, 2007 - PlayStation Portable; Oct 22, 2007 - PlayStation 3; Dec 13, 2007 - PC (Microsoft Windows)";THQ;Juice Games, Paradigm Entertainment;;Racing;Multiplayer, Single player;;;;Juiced;;72;tbd
4247;juiced-eliminator;Jun 28, 2006 - PlayStation Portable;THQ;Obigeta Makers;;Racing;Single player;;;;Juiced;Third person;65;8,4
4248;juka-and-the-monophonic-menace;Apr 29, 2006 - Game Boy Advance;SouthPeak Interactive, Zoo Digital;Orbital Media;;Adventure;Single player;;;;;Third person;66;tbd
4249;jump-force;"Feb 15, 2019 - PlayStation 4; Feb 15, 2019 - Xbox One; Feb 15, 2019 - PC (Microsoft Windows)";Bandai Namco Entertainment;Spike ChunSoft;;Fighting;Multiplayer, Single player;Action, Fantasy;;Unreal Engine 4;;Third person;61;4,8
4250;jumpgate-the-reconstruction-initiative;Sep 23, 2001 - PC (Microsoft Windows);3DO;NetDevil;;Role-playing (RPG), Shooter, Simulator;Massively Multiplayer Online (MMO);Action, Science fiction;;;Jumpgate;First person, Third person;79;tbd
4251;jumpjet-rex;"Apr 21, 2015 - Mac; Apr 21, 2015 - Linux; Apr 21, 2015 - PC (Microsoft Windows); Apr 29, 2016 - Xbox One";TreeFortress Games;TreeFortress Games;;Adventure, Indie, Platform, Racing;Co-operative, Multiplayer, Single player;Action, Science fiction;Xbox One: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 0, Offline max players: 4, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;Unity;;Side view;76;7
4252;jumpstart-escape-from-adventure-island;;;;;;;Educational;;;JumpStart;;68;tbd
